RTT_top,RTT_bottom,RTT_most_frequent,TP_top,TP_bottom,TP_most_frequent
1582.6572345353986,0.0,123.76572345353988,268478.0,0.0,15.0
1285.125787628319,0.0,123.76572345353988,247822.0,0.0,15.0
1204.5943407212392,2.0,123.76572345353988,245210.0,0.0,15.0
1113.8915110818589,4.0,123.76572345353988,238573.0,0.0,15.0
1070.8286172676994,5.0,123.76572345353988,236798.0,0.0,15.0
1062.0628938141595,6.0,123.76572345353988,233742.0,0.0,15.0
1062.0,7.0,123.76572345353988,230376.0,0.0,15.0
1012.0628938141595,7.0,123.76572345353988,229873.0,0.0,15.0
999.360064174779,7.0,123.76572345353988,227310.0,0.0,15.0
986.5314469070797,8.0,123.76572345353988,225928.0,0.0,15.0
